from,to ,weight,ranking,country,year,type,oscar,globe
ratatouille,spdc,13,2,US,1991,dc,,
ratatouille,bbd,12,2,US,1957,d,2,0
ratatouille,blp,12,2,US,1958,p,,
ratatouille,bbs,12,2,US,1957,s,,
ratatouille,bga,12,2,US,1960,a,,
ratatouille,lra,12,2,US,1972,a,,
ratatouille,poa,12,2,US,1969,a,,
ratatouille,mgc,12,2,US,1967,c,1,1
ratatouille,ppc,12,2,US,1953,pc,,
ratatouille,wdpc,12,2,US,1953,pc,,
dark,bvdc,12,2,US,1954,dc,,
dark,cnd,11,2,EU,1970,d,,
dark,cnp,11,2,EU,1970,p,,
dark,jns1,11,2,EU,1976,s,,
dark,cba1,11,2,EU,1974,a,1,2
dark,hla,11,2,AU,1979,a,1,1
dark,aea,11,2,US,1968,a,,
dark,jnc,11,2,US,1951,c,,
dark,dcpc,11,2,US,1934,pc,,
dark,wbpc,11,2,US,1923,pc,,
dark,dcpc1,11,2,US,2016,pc,,
dark,lppc,11,2,US,2000,pc,,
kopf,wbdc,11,2,US,1923,dc,,
kopf,pdd,10,2,US,1968,d,3,
kopf,jrp,10,2,US,1971,p,2,
kopf,pds,10,2,US,1968,s,1,2
kopf,apa,10,2,US,1971,a,,1
kopf,bha1,10,2,US,1978,a,,
kopf,lba,10,2,US,1948,a,,
kopf,mgc,10,2,US,1967,c,1,1
kopf,ppc,10,2,US,1953,pc,,
kopf,wdpc,10,2,US,1953,pc,,
gravity,wddc,10,2,US,1953,dc,,
gravity,acd,9,2,SA,1961,d,2,2
gravity,acp,9,2,SA,1961,p,2,2
gravity,acs,9,2,SA,1961,s,2,2
gravity,sba,9,2,US,1964,a,1,1
gravity,gca,9,2,US,1961,a,2,4
gravity,eha,9,2,US,1950,a,,2
gravity,spc,9,2,EU,1977,c,1,0
gravity,wbpc,9,2,US,1923,pc,,
gravity,efpc,9,2,SA,2004,pc,,
gravity,hfpc,9,2,EU,1969,pc,,
wrestler,wbdc,9,2,US,1923,dc,,
wrestler,dad,8,2,US,1969,d,,
wrestler,dap,8,2,US,1969,p,,
wrestler,rss,8,2,US,1971,s,,
wrestler,mra,8,2,US,1952,a,,1
wrestler,mta1,8,2,US,1964,a,1,
wrestler,ewa1,8,2,US,1987,a,,
wrestler,cmc1,8,2,EU,1963,c,,
wrestler,wbpc1,8,2,EU,1979,pc,,
wrestler,pppc1,8,2,US,1997,pc,,
hugo,fsdc,8,2,US,1994,dc,,
hugo,msd,7,2,US,1942,d,1,3
hugo,gkp,7,2,EU,1961,p,1,
hugo,jls1,7,2,US,1961,s,,
hugo,bka,7,2,EU,1943,a,1,2
hugo,sca1,7,2,EU,1971,a,,2
hugo,aba,7,2,EU,1997,a,,
hugo,hsc,7,2,CA,1946,c,3,3
hugo,gkpc,7,2,US,2007,pc,,
hugo,inpc,7,2,US,2004,pc,,
descendants,ppdc,7,2,US,1912,dc,,
descendants,apd,6,2,US,1961,d,2,2
descendants,jbp1,6,2,US,1957,p,1,
descendants,aps,6,2,US,1961,s,2,2
descendants,gca,6,2,US,1961,a,2,4
descendants,swa2,6,2,US,1991,a,,
descendants,bba,6,2,US,1941,a,,2
descendants,cac,6,2,EU,1959,c,,1
descendants,ahpc,6,2,,,pc,,
brokeback,fsdc,6,2,US,1994,dc,,
brokeback,ald,5,2,A,1954,d,2,2
brokeback,dop,5,2,US,1949,p,1,1
brokeback,lms,5,2,US,1936,s,1,1
brokeback,hla,5,2,AU,1979,a,1,1
brokeback,jga,5,2,US,1980,a,,
