id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
kopf,Alles steht Kopf,m,d,2,,11,2015,pdd,jrp,pds,apa,bha1,lba,mgc,ppc,wdpc,,,wddc,"0,858",1,2,comedy,US
lba,Lewis Black,a,m,,,,1948,,,,,,,,,,,,,,0,0,,US
lbc,Lorne Balfe,c,m,,,,1976,,,,,,,,,,,,,,0,0,,EU
lbp,Laura Bickford,p,f,,,,1968,,,,,,,,,,,,,,,,,US
lbpc,Laura Bickford Productions,pc,d,,,,,,,,,,,,,,,,,,,,,US
lca,Linda Cardellini,a,f,,,,1975,,,,,,,,,,,,,,,,,US
lcpc,La Cinéfacture,pc,d,,,,,,,,,,,,,,,,,,,,,EU
lea,Lena Endre,a,f,,,,1955,,,,,,,,,,,,,,0,0,,EU
lea1,Luke Evans,a,m,,,,1979,,,,,,,,,,,,,,0,0,,EU
leben,Das Leben der Anderen,m,d,2,,7,2006,fhd,mwp,fhs,uma,ska,mga,gyc,wbpc2,brpc,arpc,cfpc,wddc,"0,773",1,1,drama,EU
lepc,Lightstorm Entertainment,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
lepc1,Legendary Entertainment,pc,d,,,,2000,,,,,,,,,,,,,,,,,US
lfpc,Lucasfilm Ltd.,pc,d,,,,1971,,,,,,,,,,,,,,,,,US
lgc,Ludwig Göransson,c,m,,,,1984,,,,,,,,,,,,,,1,,,EU
lgd,Luca Guadagnino,d,m,,,,1971,,,,,,,,,,,,,,0,0,,EU
lion,The Lion King,m,d,1,6,,2019,jfd,jfp,jns,dga,sra,cea1,hzc,wdpc,fepc,,,wddc,"1,663",0,0,musical,US
lms,Larry McMurtry,s,m,,,,1936,,,,,,,,,,,,,,1,1,,US
lna,Lupita Nyong'o,a,f,,,,1983,,,,,,,,,,,,,,1,,,SA
lppc,Legendary Pictures,pc,d,,,,2000,,,,,,,,,,,,,,,,,US
lra,Lou Romano,a,m,,,,1972,,,,,,,,,,,,,,0,0,,US
mad,Maren Ade,d,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
man,A serious man,m,d,,,6,2009,jcd1,ecp,jcs1,msa,rka,fma,cbc1,scpc,rmpc,wtpc,mzpc,ffdc,"0,314",0,0,comedy-drama,EU
map,Maren Ade,p,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
mas,Maren Ade,s,f,,,,1976,,,,,,,,,,,,,,1,0,,EU
mbc,Marco Beltrami,c,m,,,,1966,,,,,,,,,,,,,,0,0,,US
mbs,Mark Boal,s,m,,,,1973,,,,,,,,,,,,,,2,0,,US
mda,Michael Douglas,a,m,,,,1944,,,,,,,,,,,,,,2,5,,US
mfpc,Missing Link Films,pc,d,,,,2014,,,,,,,,,,,,,,,,,EU
mfpc1,Miramax Films,pc,d,,,,1979,,,,,,,,,,,,,,,,,US
mga,Martina Gedeck,a,f,,,,1961,,,,,,,,,,,,,,0,0,,EU
mgc,Michael Giacchino,c,m,,,,1967,,,,,,,,,,,,,,1,1,,US
mha,Mark Hamill,a,m,,,,1951,,,,,,,,,,,,,,,,,US
mja,Michael B. Jordan,a,m,,,,1987,,,,,,,,,,,,,,,,,US
mna,Michael Nyqvist,a,m,,,,1960,,,,,,,,,,,,,,0,0,,EU
moon,moonlight,m,d,2,,2,2016,bjd,arp,bjs,aha,asa,tra,nbc,a2pc,dmpc,,,a2dc,"0,653",3,1,drama,EU
mra,Mickey Rourke,a,m,,,,1952,,,,,,,,,,,,,,,1,,US
mra2,Mark Ruffalo,a,m,,,,1967,,,,,,,,,,,,,,0,1,,US
mrpc,MRC,pc,d,,,,2006,,,,,,,,,,,,,,,,,US
