id,name,type,sex,ranking,ranking_money,ranking_critics,director
tspc,Trigger Street Productions,pc,d,,,,
ufdc,USA Films Company,dc,d,,,,
ugdc,Universal Pictures Germany,dc,d,,,,
uma,Ulrich Mühe,a,m,,,,
updc,Universal Pictures,dc,d,,,,
uppc,Universal pictures,pc,d,,,,
vda,Vin Diesel,a,m,,,,
vdp,Vin Diesel,p,m,,,,
verbl,Verblendung,m,d,2,,3,nad
voa,Vincent D´Onofrio,a,m,,,,
vppc,Voltage Pictures,pc,d,,,,
wbdc,Warner Bros. Pictures,dc,d,,,,
wbpc,Warner Bros. Pictures,pc,d,,,,
wbpc1,Wild Bunch,pc,d,,,,
wbpc2,Wiedemann & Berg,pc,d,,,,
wddc,Walt Disney Studios Motion Pictures,dc,d,,,,
wdpc,Walt Disney Studios Motion Pictures,pc,d,,,,
wrestler,The Wrestler,m,d,2,,13,dad
wtpc,Working Title Films,pc,d,,,,
zps,Zak Penn,s,m,,,,
zsa,Zoe Saldana,a,f,,,,
