from,to ,weight,ranking,country,year,type,oscar,globe
tree,bpa,2,2,US,1963,a,1,1
tree,jca,2,2,US,1977,a,1,1
tree,spa,2,2,US,1960,a,1,1
tree,adc,2,2,EU,1961,c,1,1
tree,pbpc,2,2,US,2001,pc,0,0
tree,rrpc,2,2,US,1987,pc,0,0
country,cfdc,2,2,EU,1980,dc,0,0
country,jcd1,1,2,US,1954,d,1,1
country,srp,1,2,US,1958,p,1,0
country,jcs1,1,2,US,1954,s,1,1
country,tja,1,2,US,1946,a,1,1
country,jba2,1,2,EU,1969,a,1,1
country,jba1,1,2,US,1968,a,1,0
country,cbc1,1,2,US,1954,c,1,0
country,mfpc1,1,2,US,1979,pc,0,0
country,srpc,1,2,US,1980,pc,0,0
country,pcpc,1,2,US,1998,pc,0,0
,ugdc,1,2,EU,1981,dc,0,0
