id,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
sra,a,m,,,,1982,,,,,,,,,,,,,,0,0,,CA
srp,p,m,,,,1958,,,,,,,,,,,,,,1,0,,US
srpc,pc,d,,,,1980,,,,,,,,,,,,,,,,,US
ssc,c,m,,,,1975,,,,,,,,,,,,,,0,0,,US
ssd,d,m,,,,1963,,,,,,,,,,,,,,,,,US
ssd1,d,m,,,,1946,,,,,,,,,,,,,,3,2,,US
ssp,p,m,,,,1952,,,,,,,,,,,,,,0,0,,EU
ssp1,p,m,,,,1946,,,,,,,,,,,,,,3,2,,US
starwars,m,d,1,3,,2015,jad,jap,gls,dra,jba,ada,jwc,wdpc,lfpc,brpc,,wddc,"2,066",0,0,science-fiction,US
sva,a,f,,,,1969,,,,,,,,,,,,,,0,0,,US
swa,a,m,,,,1976,,,,,,,,,,,,,,0,0,,AU
swa1,a,f,,,,1949,,,,,,,,,,,,,,0,0,,US
swa2,a,f,,,,1991,,,,,,,,,,,,,,,,,US
tca,a,m,,,,1995,,,,,,,,,,,,,,0,0,,US
tca2,a,m,,,,1962,,,,,,,,,,,,,,0,3,,US
tja,a,m,,,,1946,,,,,,,,,,,,,,1,1,,US
tmd,d,m,,,,1943,,,,,,,,,,,,,,0,0,,US
tmpc,pc,d,,,,1992,,,,,,,,,,,,,,,,,US
tms,s,m,,,,1943,,,,,,,,,,,,,,1,3,,US
erdmann,m,d,2,,1,2016,mad,map,mas,sha,psa,mwa,pvc,kfpc1,copc,khpc,mfpc,nfdc,"0,118",0,0,comedy-drama,EU
tppc,pc,d,,,,2015,,,,,,,,,,,,,,,,,A
tra,a,m,,,,1990,,,,,,,,,,,,,,0,0,,US
traffic,m,d,2,,4,2001,ssd,lbp,sms,mda,dca,bta,cmc,iepc,lbpc,bfpc,,ufdc,"0,42",4,0,drama,US
trc,c,m,,,,1965,,,,,,,,,,,,,,2,1,,US
tree,m,d,2,,19,2011,tmd,skp,tms,bpa,jca,spa,adc,pbpc,rrpc,,,cfdc,"0,058",0,0,drama,US
tspc,pc,d,,,,1997,,,,,,,,,,,,,,,,,US
ufdc,dc,d,,,,,,,,,,,,,,,,,,,,,US
ugdc,dc,d,,,,1981,,,,,,,,,,,,,,,,,EU
uma,a,m,,,,1953,,,,,,,,,,,,,,0,0,,EU
updc,dc,d,,,,1912,,,,,,,,,,,,,,,,,US
uppc,pc,d,,,,1912,,,,,,,,,,,,,,,,,US
vda,a,m,,,,1977,,,,,,,,,,,,,,0,0,,US
vdp,p,m,,,,1967,,,,,,,,,,,,,,0,0,,US
verbl,m,d,2,,3,2009,nad,ssp,sls,mna,npa,lea,jgc,nfpc,wbpc,,,wbdc,"0,104",,,thriller,US
voa,a,m,,,,1959,,,,,,,,,,,,,,0,0,,US
vppc,pc,d,,,,2005,,,,,,,,,,,,,,,,,US
wbdc,dc,d,,,,1923,,,,,,,,,,,,,,,,,US
wbpc,pc,d,,,,1923,,,,,,,,,,,,,,,,,US
wbpc1,pc,d,,,,1979,,,,,,,,,,,,,,,,,EU
wbpc2,pc,d,,,,2003,,,,,,,,,,,,,,,,,EU
wddc,dc,d,,,,1953,,,,,,,,,,,,,,,,,US
wdpc,pc,d,,,,1953,,,,,,,,,,,,,,,,,US
wrestler,m,d,2,,13,2008,dad,dap,rss,mra,mta1,ewa1,cmc1,wbpc1,pppc1,,,fsdc,"0,044",,2,drama,US
wtpc,pc,d,,,,1984,,,,,,,,,,,,,,,,,US
zps,s,m,,,,1968,,,,,,,,,,,,,,0,0,,US
zsa,a,f,,,,1978,,,,,,,,,,,,,,0,0,,US
